Rank,Name,Position,# of presses,POS (pp),EXEC (pp),CHECK (pp)
1,"Hall, Curtis",C,51,0.0242,0.0963,0.1205
2,"Lapierre, Hendrix",C,40,0.0701,0.0444,0.1145
3,"Anderson, Joey",RW,33,0.0805,0.0323,0.1129
4,"Kovalenko, Nikolai",F,16,0.0557,0.0564,0.1121
5,"Harkins, Jansen",C,35,0.0575,0.0331,0.0906
6,"DeSimone, Nick",D,12,0.0368,0.0535,0.0904
7,"Kisakov, Alexander",F,57,0.0465,0.042,0.0885
8,"Vecchione, Mike",F,176,0.0335,0.0529,0.0864
9,"Koch, Davis",F,16,-0.0041,0.0878,0.0837
10,"Bowlby, Henry",LW,15,0.0136,0.0696,0.0833
11,"Bryson, Jacob",D,18,0.0115,0.0715,0.083
12,"Ibragimov, Timur",LW,118,0.0287,0.0531,0.0818
13,"McDonough, Aidan",LW,182,0.0343,0.0417,0.076
14,"Caamano, Nicholas",RW,176,0.0075,0.0676,0.0751
15,"Anisimov, Artem",C,51,0.0154,0.0546,0.0699
16,"Carpenter, Ryan",C,33,0.0396,0.0274,0.0671
17,"Zohorna, Radim",C,64,0.0437,0.0215,0.0652
18,"Bitten, William",F,176,0.0487,0.0155,0.0643
19,"Barron, Travis",LW,185,0.047,0.016,0.0631
20,"Blumel, Matej",F,193,0.0276,0.0352,0.0629
21,"Nemec, Simon",D,23,0.0062,0.0544,0.0606
22,"Anderson-Dolan, Jaret",C,24,0.0246,0.0351,0.0597
23,"Barre-Boulet, Alex",C,67,0.0391,0.0206,0.0596
24,"Fleury, Cale",D,169,0.0048,0.0544,0.0592
25,"Fortier, Gabriel",C,137,0.0067,0.0512,0.0579
